"exposure","outcome","effect_type","effect_est","cri_lo","cri_hi","rr_or_mr_approx","evalue_estimate","evalue_inner_cri"
"Daily travel (92×/3mo) vs. never","Infection (prevalence)","OR",1.74,1.06,2.83,1.42,2.2,1.26
"Domestic vs. no lake activity","Infection (prevalence)","OR",0.71,0.28,1.72,0.77,1.91,1
"Occupation vs. no lake activity","Infection (prevalence)","OR",3.37,1.12,10.54,1.98,3.37,1.38
"Recreation vs. no lake activity","Infection (prevalence)","OR",1.19,0.47,3,1.12,1.5,1
"TradeORVisit vs. no lake activity","Infection (prevalence)","OR",1.17,0.56,2.48,1.12,1.48,1
"MDA participation vs. none","Infection (prevalence)","OR",0.87,0.57,1.34,0.91,1.41,1
"Daily travel (92×/3mo) vs. never","Burden (EPG, infected only)","MR",0.96,0.35,2.51,0.96,1.23,1
"Domestic vs. no lake activity","Burden (EPG, infected only)","MR",26.95,2.16,235.13,26.95,53.39,3.75
"Occupation vs. no lake activity","Burden (EPG, infected only)","MR",15.1,1.53,88.38,15.1,29.69,2.42
"Recreation vs. no lake activity","Burden (EPG, infected only)","MR",5.8,0.56,38.15,5.8,11.08,1
"TradeORVisit vs. no lake activity","Burden (EPG, infected only)","MR",8.93,0.96,49.07,8.93,17.34,1
"MDA participation vs. none","Burden (EPG, infected only)","MR",1.11,0.38,2.98,1.11,1.46,1
